place_id	place_name	place_lat	place_lon	place_brief_desc	place_longer_desc	place_image	place_tags	place_links	place_country
france_1	Futuroscope	46.6699180	0.37720900	French theme park based upon multimedia, cinematographic, and audiovisual techniques. It has several 3D cinemas and a few 4D cinemas along with other attractions and shows, some of which are the only examples in the world	./static/places/futuroscope.html	./static/images/futuroscope.png	museum|science|kids	https://www.lonelyplanet.com/search?q=Futuroscope	France
france_2	Versailles	48.7956490	2.13592400	Versailles, famed for its royal residence built by King Louis XIV is a must see for most.	./static/places/versailles.html	./static/images/versailles.png	museum|history|kids| culture	https://www.lonelyplanet.com/search?q=Versailles	France
france_4	Chartres	48.4486280	1.48120200	Chartres, is famed for its massive Cathédrale Notre-Dame. The Gothic cathedral, completed in 1220, features 2 towering spires, flying buttresses, Romanesque sculptures, pavement labyrinth and elaborate rose windows. The interior's blue-tinted stained glass is distinctive, and the nearby Centre International du Vitrail has workshops and exhibits on stained-glass art	./static/places/chartres.html	./static/images/chartres.png	city break| culture| history	https://www.lonelyplanet.com/search?q=Chartres	France
france_6	Rennes	48.1030710	-1.6721310	Rennes is the chief city of Brittany in northwest France. It's mostly modern and industrial, but has many grand 18th and 19th century buildings, and survivors of earlier times. It's also well-endowed with cultural attractions. In 2020 the city population was 222,485, with about 150,000 more living in the wider metropolis.	./static/places/rennes.html	./static/images/rennes.png	city break	https://www.lonelyplanet.com/search?q=Rennes	France
france_10	La Rochelle	46.1527030	-1.1452880	La Rochelle, capital of Charente-Maritime and one of the most livable cities in France, is a pretty good place to go and get nautical.	./static/places/la rochelle.html	./static/images/la rochelle.png		https://www.lonelyplanet.com/search?q=La Rochelle	France
france_15	Saintes	45.7488860	-0.6173560	Saintes is a city on the Charente river in Charente-Maritime, in southwestern France. It was the capital of the historical Saintogne County, many landmarks from its glorious past have been preserved, and as such it has been classified as a Ville d'art et d'histoire ("City of art and history").	./static/places/saintes.html	./static/images/saintes.png	history|city break	https://www.lonelyplanet.com/search?q=Saintes	France
france_19	Paris	48.8404960	2.36707900	We’ll always have Paris' - Casablanca 	./static/places/paris.html	./static/images/paris.png	history|kids|city break	https://www.lonelyplanet.com/search?q=Paris	France
france_24	Bordeaux	44.8258230	-0.5560120	Bordeaux, resting on the banks of the Garonne is the global capital of wine and it would be rude not to get straight to the point and pay a visit to La Cité du Vin where you can learn about how the giggle-juice is made and maybe do some tasting?	./static/places/bordeaux.html	./static/images/bordeaux.png	history|kids|city break	https://www.lonelyplanet.com/search?q=Bordeaux	France
france_28	Limoges	45.8372180	1.26900800	Limoges is a city in southwest-central France. It’s known for its decorated porcelain, much of which is on display at the Musée National Adrien Dubouché. In the historic center, medieval timber-frame houses line Rue de la Boucherie. Set in the former Episcopal Palace, the Musée des Beaux-Arts showcases the history of the city's medieval enamel. The Gothic Cathédrale St-Étienne de Limoges took 6 centuries to complete	./static/places/limoges.html	./static/images/limoges.png	history|art	https://www.lonelyplanet.com/search?q=Limoges	France
france_38	Toulouse	43.6114370	1.45423700	Toulouse, known as 'La Ville Rose', is the proud capital of the Occitan region of France which has had a distinctly independent culture and language - hence its bilingual street signs. Wandering around the city with its rose-coloured bricks, it does feel markedly different from the yellow limestone which dominates so many parts of France.	./static/places/toulouse.html	./static/images/toulouse.png	history|food	https://www.lonelyplanet.com/search?q=Toulouse	France
france_45	Latour-de-Carol - Enveitg	42.4589540	1.90450900	Gateway to Spain - Puigcerda in Spain is just a walk away.	./static/places/latour-de-carol - enveitg.html	./static/images/latour-de-carol - enveitg.png	walking	https://www.lonelyplanet.com/search?q=Latour-de-Carol - Enveitg	France
france_72	Carcassonne	43.2181650	2.35243000	Carcassonne, one of the best preserved medieval cities in the world, has something of a fairytale feel thanks to the restoration work of Eugène Viollet-le-Duc.	./static/places/carcassonne.html	./static/images/carcassonne.png	history|kids	https://www.lonelyplanet.com/search?q=Carcassonne	France
france_80	Lourdes	43.1006000	-0.0418120	As a small town in the foothills of the Pyrenees, Lourdes used to be a bit of a backwater. But all of that changed in 1858 when 14-year-old Bernadette Soubirous visited a cave and met the Lady of the Immaculate Conception who told her about the healing properties of the water.	./static/places/lourdes.html	./static/images/lourdes.png	history|walking	https://www.lonelyplanet.com/search?q=Lourdes	France
france_83	Bayonne	43.4970180	-1.4701940	If you've spent a few days getting body-beautiful down in San Sebastian or nearby Biarritz, why not go and undo all that good work with a trip to Bayonne!	./static/places/bayonne.html	./static/images/bayonne.png	history|food	https://www.lonelyplanet.com/search?q=Bayonne	France
france_85	Hendaye	43.3531650	-1.7820950	Hendaye is a popular surfing destination renowned for its soft beach break waves suitable for beginners. Trains leave from here to Spain - or just walk across the border...	./static/places/hendaye.html	./static/images/hendaye.png		https://www.lonelyplanet.com/search?q=Hendaye	France
france_93	Lyon	45.7605960	4.85940900	Lyon, France’s third largest city and reputed gastronomic capital of the world, sits at the junction of the Rhône and Saône rivers. Founded by the Romans, Lyon flourished in the late Middle Ages and has been a major centre for industry, commerce and banking for the last 500 years. The legacy of this wealth is on show through the fine set of buildings.	./static/places/lyon.html	./static/images/lyon.png	history|food|city break	https://www.lonelyplanet.com/search?q=Lyon	France
france_97	Vichy	46.1268820	3.43070700	Vichy is a town in Auvergne. It's known for two things: its spas (Vichy is one of eleven world heritage-listed European spa towns), and as the headquarters of the pro-Nazi Vichy regime during the Second World War.	./static/places/vichy.html	./static/images/vichy.png	history|spa	https://www.lonelyplanet.com/search?q=Vichy	France
france_105	Marseille	43.3030300	5.38055500	Marseille (Provençal: Marselha) is the second most populated city of France (and third urban area) the biggest Mediterranean port and the economic center of the Provence-Alpes-Côte d'Azur region. In 2013 the city (with its region) was the European Capital of Culture, a large series of cultural events took place, and several new infrastructures were inaugurated.	./static/places/marseille.html	./static/images/marseille.png	history|sea|city break	https://www.lonelyplanet.com/search?q=Marseille	France
france_106	Arles	43.6853590	4.63210900	Arles, spiritual capital of Provence, is located where the mighty Rhône meets the Camargue and was founded by the veterans of Julius Caesar's crack Sixth legion. And while it has world class Roman buildings (that are still in active use today), it's probably more famous for being the place where Vincent Van Gogh came in search of light - the art world hasn't been the same since.	./static/places/arles.html	./static/images/arles.png	history|art	https://www.lonelyplanet.com/search?q=Arles	France
france_123	Montpellier	43.6047800	3.88116800	Montpellier is the principal city in the Languedoc-Roussillon region in southwest France. It's been the one of the fastest growing cities in France since the 1990s. As a result, it has very modern districts on the outskirts that are in stark contrast to the old winding roads of the city centre. The town is home to a lot of students due to the presence of the University of Montpellier which has the oldest medical school in Europe, and, as such, Montpellier has a very young feel to it.	./static/places/montpellier.html	./static/images/montpellier.png	history	https://www.lonelyplanet.com/search?q=Montpellier	France
france_124	Sete	43.4128080	3.69641000	Located between a lagoon and the Med and connecting the Canal du Midi to the sea, this southern French working port is a great place to get seafood and sea views. Throughout the summer you can also catch some water-jousting where old-style lifeboats (barque de sauvetage) with multiple oarsmen and one jouster charge at each other and try to unseat their opponent.	./static/places/sete.html	./static/images/sete.png	history|art|sea	https://www.lonelyplanet.com/search?q=Sète	France
france_125	Nimes	43.8323870	4.36608100	Known as the most Roman city outside of Italy, Nîmes has one of the best preserved arenas and Roman temples in the world. It's also the birthplace of denim ('de Nîmes'), so you could think of coming to Nîmes as a pilgrimage for your jeans! The city is full of activity and has events and festivals throughout the year, including an annual international music festival held in the Roman arena and local craft and produce markets.	./static/places/nimes.html	./static/images/nimes.png	history|food	https://www.lonelyplanet.com/search?q=Nîmes	France
france_127	Narbonne	43.1906640	3.00556200	Narbonne has been an ideal place to stop off when going places since Roman times as it was where the via Aquitania from the Atlantic via Bordeaux and Toulouse met the via Domitia reaching into Spain. It’s still a great place to change trains when doing the same thing.	./static/places/narbonne.html	./static/images/narbonne.png	history	https://www.lonelyplanet.com/search?q=Narbonne	France
france_145	Perpignan	42.6960790	2.87962200	Perpignan is home to about 120,000 people, and has two rivers flowing through it; with the Têt to the north, and the Basse through the centre. Once the continental capital of the Kingdom of Majorca, Perpignan has been an economical and educational centre for centuries, and this is evident in its architecture.	./static/places/perpignan.html	./static/images/perpignan.png	history|skiing	https://www.lonelyplanet.com/search?q=Perpignan	France
france_148	Collioure	42.5269200	3.07824800	Collioure is an ancient fishing village 27 km from Spain. The Mediterranean laps on its beaches and you can spy the last summits of the Pyrenees.	./static/places/collioure.html	./static/images/collioure.png	history|sea	https://www.lonelyplanet.com/search?q=Collioure	France
france_151	Cerbere	42.4427710	3.16552800	Gateway to Spain  - just wander over the hill! It's a journey made by made during times of strife, but these days it's all for pleasure	./static/places/cerbere.html	./static/images/cerbere.png	history|sea	https://www.lonelyplanet.com/search?q=Cerbère	France
spain_1	Barcelona	41.37922	2.140624	With around 20 million tourists per year, Barcelona is on the popular side...But it's with good reason. It's a sophisticated beach-side party town with world class architecture.	./static/places/barcelona.html	./static/images/barcelona.png	history|art	https://www.lonelyplanet.com/search?q=Barcelona	Spain
spain_19	Tarragona	41.1116240	1.25321400	Tarragona seems to effortlessly juggle being both a UNESCO-listed tourist destination and a busy port with all the associated industry	./static/places/tarragona.html	./static/images/tarragona.png	history	https://www.lonelyplanet.com/search?q=Tarragona	Spain
spain_20	Madrid	40.4720993	-3.6824687	Madrid, capital of Spain and former centre of a vast new-world empire has accumulated a wealth of art and architecture that should tickle even the most jaded of travellers.	./static/places/madrid.html	./static/images/madrid.png	history	https://www.lonelyplanet.com/search?q=Madrid	Spain
spain_44	San Sebastian	43.317669	-1.976704	Being just 20km from the French border, San Sebastian (Donostia in Basque) is an ideal hop off when travelling to Spain. Where better to top up your tan, fill up your tummy and empty your wallet in this seductively urbane resort?	./static/places/san sebastian.html	./static/images/san sebastian.png	history	https://www.lonelyplanet.com/search?q=San Sebastian/donostia	Spain
spain_55	Zaragoza	41.658649	-0.911615	The capital of Aragon has plenty to see in do thanks to two thousand years of history and two cathedrals	./static/places/zaragoza.html	./static/images/zaragoza.png	history	https://www.lonelyplanet.com/search?q=Zaragoza	Spain
spain_56	Tudela de Navarra	42.0594340	-1.5979310	With arid desert to the north and lush market gardens to the south, Tudela is quite unlike the rest of Navarre. For a start, you can leave behind your Basque dictionary as Spanish is the only official language here.	./static/places/tudela de navarra.html	./static/images/tudela de navarra.png	history	https://www.lonelyplanet.com/search?q=Tudela de Navarra	Spain
spain_61	Pamplona	42.8248770	-1.6614190	Pamplona, Iruña in Basque, is the historic capital of the Kingdom of Navarre which straddled Spain and France.	./static/places/pamplona.html	./static/images/pamplona.png	history	https://www.lonelyplanet.com/search?q=Pamplona/irunya	Spain
spain_96	Cordoba	37.8882910	-4.7894530	Córdoba's Mezquita (Great Mosque) with it's nested cathedral is reason enough to come here on its own, but there's plenty else to see and do in this ancient Andalusian city.	./static/places/cordoba.html	./static/images/cordoba.png	history	https://www.lonelyplanet.com/search?q=Cordoba	Spain
spain_97	Seville	37.3921277	-5.9752694	Few places encapsulate the story of Spain as well as Seville. And where better to tell that story than the vast Gothic Cathedral which was built on the site of a Moorish mosque and contains the remains of Christopher Columbus.	./static/places/seville.html	./static/images/seville.png	history	https://www.lonelyplanet.com/search?q=Seville	Spain
spain_104	Figueres	42.2647710	2.94354700	Figueres is the home of Salvador Dalí	./static/places/figueres.html	./static/images/figueres.png	history	https://www.lonelyplanet.com/search?q=Figueres	Spain
spain_105	Girona	41.9793030	2.81700600	The Catalan city of Girona is the smart choice for those who have found Barcelona just a bit too much...	./static/places/girona.html	./static/images/girona.png	history	https://www.lonelyplanet.com/search?q=Girona	Spain
