place_id,place_name,stop_id,stop_name,stop_lat,stop_lon,place_brief_desc,place_longer_desc,place_image,place_tags,place_links
1,Futuroscope,StopPoint:OCEOUIGO-87324095,Futuroscope,46.6699180,0.37720900,Science/tech theme park,"French theme park based upon multimedia, cinematographic, and audiovisual techniques. It has several 3D cinemas and a few 4D cinemas along with other attractions and shows, some of which are the only examples in the world",https://www.futuroscope.com/uploads/media/cache/slider_desktop/upload/image/1280x680_ENG_MI-SAISON.jpg,museum|science|kids,https://www.futuroscope.com/en/
2,Versailles,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,48.7956490,2.13592400,Royal palace,The Palace of Versailles is a former royal residence built by King Louis XIV,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Ch%C3%A2teau_de_Versailles_%28Orangerie%29.jpg/1280px-Ch%C3%A2teau_de_Versailles_%28Orangerie%29.jpg,museum|history|kids| culture,https://en.chateauversailles.fr/
3,Massy-Palaiseau,StopPoint:OCEOUIGO-87393579,Massy-Palaiseau,48.7256310,2.25786800,,,,,
4,Chartres,StopPoint:OCEOUIGO-87394007,Chartres,48.4486280,1.48120200,Chartres famed for its massive Cathédrale Notre-Dame,"Chartres, a city in north-central France southwest of Paris, is famed for its massive Cathédrale Notre-Dame. The Gothic cathedral, completed in 1220, features 2 towering spires, flying buttresses, Romanesque sculptures, pavement labyrinth and elaborate rose windows. The interior's blue-tinted stained glass is distinctive, and the nearby Centre International du Vitrail has workshops and exhibits on stained-glass art",https://upload.wikimedia.org/wikipedia/commons/6/6a/Chartres_-_Clo%C3%AEtre_Notre-Dame_-_Cath%C3%A9drale_Notre-Dame_de_Chartres_1193-1250_-_North_porch_of_Cath%C3%A9drale_Notre-Dame_de_Chartres_-_Left_bay_of_north_porch_of_Cath%C3%A9drale_Notre-Dame_de_Chartres_01.jpg,city break| culture| history,https://www.chartres-tourisme.com/en
5,Le Mans,StopPoint:OCEOUIGO-87396002,Le Mans,47.9952170,0.19243400,Le Mans,,,,
6,Rennes,StopPoint:OCEOUIGO-87471003,Rennes,48.1030710,-1.6721310,Rennes,"Rennes is the chief city of Brittany in northwest France. It's mostly modern and industrial, but has many grand 18th and 19th century buildings, and survivors of earlier times. It's also well-endowed with cultural attractions. In 2020 the city population was 222,485, with about 150,000 more living in the wider metropolis.",https://upload.wikimedia.org/wikipedia/commons/8/8f/Renne_banner.jpg,city break,https://en.wikivoyage.org/wiki/Rennes
7,Laval,StopPoint:OCEOUIGO-87478404,Laval,48.0763180,-0.7611460,Laval,,,,
8,Nantes,StopPoint:OCEINTERCITES-87481002,Nantes,47.2170940,-1.5414240,Nantes,,,,
9,Angers Saint-Laud,StopPoint:OCEOUIGO-87484006,Angers Saint-Laud,47.4643600,-0.5568000,Angers Saint-Laud,,,,
10,La Rochelle,StopPoint:OCEINTERCITES-87485003,La Rochelle,46.1527030,-1.1452880,La Rochelle,"La Rochelle, capital of Charente-Maritime and one of the most livable cities in France, is a pretty good place to go and get nautical.",https://lh5.googleusercontent.com/1lhOkw7mb1tjYXRmy8mnq0EfurGEXw-3SYoXNMRN3TzEgyYQanwdWpwKx5TBCTpiAaOqbT5g-PzOssErNk30scg=w16383,,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/la-rochelle
11,Rochefort,StopPoint:OCEINTERCITES-87485144,Rochefort,45.9474160,-0.9637880,Rochefort,,,,
12,La Roche-sur-Yon,StopPoint:OCEINTERCITES-87486019,La Roche-sur-Yon,46.6719150,-1.4358420,La Roche-sur-Yon,,,,
13,Luçon,StopPoint:OCEINTERCITES-87486258,Luçon,46.4637230,-1.1674260,Luçon,,,,
