service_id,date,exception_type
000001,20231014,1
000001,20231015,1
000001,20231021,1
000001,20231022,1
000001,20231028,1
000001,20231029,1
000001,20231104,1
000001,20231105,1
000001,20231118,1
000001,20231119,1
000001,20231125,1
000001,20231126,1
000001,20231202,1
000001,20231203,1
000001,20231209,1
000002,20231010,1
000002,20231011,1
000002,20231012,1
000002,20231013,1
000002,20231016,1
000002,20231017,1
000002,20231018,1
000002,20231019,1
000002,20231020,1
000002,20231023,1
000002,20231024,1
000002,20231025,1
000002,20231026,1
000002,20231027,1
000002,20231030,1
000002,20231031,1
000002,20231102,1
000002,20231103,1
000002,20231106,1
000002,20231107,1
000002,20231108,1
000002,20231109,1
000002,20231113,1
000002,20231114,1
000002,20231115,1
000002,20231116,1
000002,20231117,1
000002,20231120,1
000002,20231121,1
000002,20231122,1
000002,20231123,1
000002,20231124,1
000002,20231127,1
000002,20231128,1
000002,20231129,1
000002,20231130,1
000002,20231201,1
000002,20231204,1
000002,20231205,1
000002,20231206,1
000002,20231207,1
000002,20231208,1
000003,20231101,1
000004,20231112,1
000005,20231110,1
000005,20231111,1
000006,20231211,1
000006,20231212,1
000006,20231213,1
000006,20231214,1
000006,20231215,1
000006,20231218,1
000006,20231219,1
000006,20231220,1
000006,20231221,1
000006,20231222,1
000006,20231226,1
000006,20231227,1
000006,20231228,1
000006,20231229,1
000006,20240102,1
000006,20240103,1
000006,20240104,1
000006,20240105,1
000006,20240108,1
000007,20231210,1
000007,20231216,1
000007,20231217,1
000007,20231223,1
000007,20231224,1
000007,20231225,1
000007,20231230,1
000007,20231231,1
000007,20240101,1
000007,20240106,1
000007,20240107,1
000008,20231030,1
000008,20231031,1
000008,20231102,1
000008,20231103,1
000008,20231106,1
000008,20231107,1
000008,20231108,1
000008,20231109,1
000008,20231113,1
000008,20231114,1
000008,20231115,1
000008,20231116,1
000008,20231117,1
000008,20231120,1
000008,20231121,1
000008,20231122,1
000008,20231123,1
000008,20231124,1
000009,20231010,1
000009,20231011,1
000009,20231012,1
000009,20231013,1
000009,20231014,1
000009,20231015,1
000009,20231016,1
000009,20231017,1
000009,20231018,1
000009,20231019,1
000009,20231020,1
000009,20231021,1
000009,20231028,1
000009,20231029,1
000009,20231101,1
000009,20231104,1
000009,20231105,1
000009,20231118,1
000009,20231119,1
000009,20231125,1
000009,20231126,1
000009,20231202,1
000009,20231203,1
000009,20231209,1
000010,20231022,1
000011,20231110,1
000011,20231111,1
000011,20231112,1
000012,20231023,1
000012,20231024,1
000012,20231025,1
000012,20231026,1
000012,20231027,1
000012,20231127,1
000012,20231128,1
000012,20231129,1
000012,20231130,1
000012,20231201,1
000012,20231204,1
000012,20231205,1
000012,20231206,1
000012,20231207,1
000012,20231208,1
000013,20231210,1
000013,20231211,1
000013,20231212,1
000013,20231213,1
000013,20231214,1
000013,20231215,1
000013,20231216,1
000013,20231217,1
000013,20231218,1
000013,20231219,1
000013,20231220,1
000013,20231221,1
000013,20231222,1
000013,20231223,1
000013,20231224,1
000013,20231225,1
000013,20231226,1
000013,20231227,1
000013,20231228,1
000013,20231229,1
000013,20231230,1
000013,20231231,1
000013,20240101,1
000013,20240102,1
000013,20240103,1
000013,20240104,1
000013,20240105,1
000013,20240106,1
000013,20240107,1
000013,20240108,1
000014,20231014,1
000014,20231015,1
000014,20231021,1
000014,20231022,1
000014,20231023,1
000014,20231024,1
000014,20231025,1
000014,20231026,1
000014,20231027,1
000014,20231028,1
000014,20231029,1
000014,20231030,1
000014,20231031,1
000014,20231101,1
000014,20231102,1
000014,20231103,1
000014,20231104,1
000014,20231105,1
000014,20231106,1
000014,20231107,1
000014,20231108,1
000014,20231109,1
000014,20231113,1
000014,20231114,1
000014,20231115,1
000014,20231116,1
000014,20231117,1
000014,20231118,1
000014,20231119,1
000014,20231120,1
000014,20231121,1
000014,20231122,1
000014,20231123,1
000014,20231124,1
000014,20231125,1
000014,20231126,1
000014,20231127,1
000014,20231128,1
000014,20231129,1
000014,20231130,1
000014,20231201,1
000014,20231202,1
000014,20231203,1
000014,20231204,1
000014,20231205,1
000014,20231206,1
000014,20231207,1
000014,20231208,1
000014,20231209,1
000015,20231010,1
000015,20231011,1
000015,20231012,1
000015,20231013,1
000015,20231016,1
000015,20231017,1
000015,20231018,1
000015,20231019,1
000015,20231020,1
000016,20231110,1
000017,20231111,1
000017,20231112,1
000018,20231030,1
000018,20231031,1
000018,20231102,1
000018,20231103,1
000018,20231106,1
000018,20231107,1
000018,20231108,1
000018,20231109,1
000018,20231110,1
000018,20231111,1
000018,20231112,1
000018,20231113,1
000018,20231114,1
000018,20231115,1
000018,20231116,1
000018,20231117,1
000018,20231120,1
000018,20231121,1
000018,20231122,1
000018,20231123,1
000018,20231124,1
000019,20231014,1
000019,20231015,1
000019,20231021,1
000019,20231022,1
000019,20231023,1
000019,20231024,1
000019,20231025,1
000019,20231026,1
000019,20231027,1
000019,20231028,1
000019,20231029,1
000019,20231104,1
000019,20231105,1
000019,20231118,1
000019,20231119,1
000019,20231125,1
000019,20231126,1
000019,20231127,1
000019,20231128,1
000019,20231129,1
000019,20231130,1
000019,20231201,1
000019,20231202,1
000019,20231203,1
000019,20231204,1
000019,20231205,1
000019,20231206,1
000019,20231207,1
000019,20231208,1
000019,20231209,1
000020,20231010,1
000020,20231011,1
000020,20231012,1
000020,20231013,1
000020,20231014,1
000020,20231015,1
000020,20231016,1
000020,20231017,1
000020,20231018,1
000020,20231019,1
000020,20231020,1
000020,20231021,1
000020,20231022,1
000020,20231023,1
000020,20231024,1
000020,20231025,1
000020,20231026,1
000020,20231027,1
000020,20231028,1
000020,20231029,1
000020,20231104,1
000020,20231105,1
000020,20231118,1
000020,20231119,1
000020,20231125,1
000020,20231126,1
000020,20231127,1
000020,20231128,1
000020,20231129,1
000020,20231130,1
000020,20231201,1
000020,20231202,1
000020,20231203,1
000020,20231204,1
000020,20231205,1
000020,20231206,1
000020,20231207,1
000020,20231208,1
000020,20231209,1
000021,20231030,1
000021,20231031,1
000021,20231102,1
000021,20231103,1
000021,20231106,1
000021,20231107,1
000021,20231108,1
000021,20231109,1
000021,20231110,1
000021,20231112,1
000021,20231113,1
000021,20231114,1
000021,20231115,1
000021,20231116,1
000021,20231117,1
000021,20231120,1
000021,20231121,1
000021,20231122,1
000021,20231123,1
000021,20231124,1
000022,20231111,1
000023,20231010,1
000023,20231011,1
000023,20231012,1
000023,20231013,1
000023,20231014,1
000023,20231015,1
000023,20231016,1
000023,20231017,1
000023,20231018,1
000023,20231019,1
000023,20231020,1
000023,20231021,1
000023,20231022,1
000023,20231023,1
000023,20231024,1
000023,20231025,1
000023,20231026,1
000023,20231027,1
000023,20231028,1
000023,20231029,1
000023,20231030,1
000023,20231031,1
000023,20231101,1
000023,20231102,1
000023,20231103,1
000023,20231104,1
000023,20231105,1
000023,20231106,1
000023,20231107,1
000023,20231108,1
000023,20231109,1
000023,20231113,1
000023,20231114,1
000023,20231115,1
000023,20231116,1
000023,20231117,1
000023,20231118,1
000023,20231119,1
000023,20231120,1
000023,20231121,1
000023,20231122,1
000023,20231123,1
000023,20231124,1
000023,20231125,1
000023,20231126,1
000023,20231127,1
000023,20231128,1
000023,20231129,1
000023,20231130,1
000023,20231201,1
000023,20231202,1
000023,20231203,1
000023,20231204,1
000023,20231205,1
000023,20231206,1
000023,20231207,1
000023,20231208,1
000023,20231209,1
000024,20231013,1
000024,20231020,1
000024,20231021,1
000024,20231027,1
000024,20231028,1
000024,20231103,1
000024,20231117,1
000024,20231118,1
000024,20231124,1
000024,20231125,1
000024,20231201,1
000024,20231202,1
000024,20231208,1
000024,20231209,1
000025,20231014,1
000026,20231022,1
000026,20231029,1
000026,20231101,1
000026,20231105,1
000026,20231119,1
000026,20231126,1
000026,20231203,1
000027,20231015,1
000028,20231104,1
000029,20231010,1
000029,20231011,1
000029,20231012,1
000029,20231016,1
000029,20231017,1
000029,20231018,1
000029,20231019,1
000029,20231023,1
000029,20231024,1
000029,20231025,1
000029,20231026,1
000029,20231030,1
000029,20231031,1
000029,20231102,1
000029,20231106,1
000029,20231107,1
000029,20231108,1
000029,20231109,1
000029,20231113,1
000029,20231114,1
000029,20231115,1
000029,20231116,1
000029,20231120,1
000029,20231121,1
000029,20231122,1
000029,20231123,1
000029,20231127,1
000029,20231128,1
000029,20231129,1
000029,20231130,1
000029,20231204,1
000029,20231205,1
000029,20231206,1
000029,20231207,1
000030,20231014,1
000030,20231021,1
000030,20231028,1
000030,20231101,1
000030,20231104,1
000030,20231118,1
000030,20231125,1
000030,20231202,1
000030,20231209,1
000031,20231015,1
000031,20231022,1
000031,20231029,1
000031,20231105,1
000031,20231119,1
000031,20231126,1
000031,20231203,1
000032,20231210,1
000032,20231217,1
000032,20231224,1
000032,20231225,1
000032,20231231,1
000032,20240101,1
000032,20240107,1
000033,20231216,1
000033,20231223,1
000033,20231230,1
000033,20240106,1
000034,20231010,1
000034,20231011,1
000034,20231012,1
000034,20231013,1
000034,20231014,1
000034,20231015,1
000034,20231016,1
000034,20231017,1
000034,20231018,1
000034,20231019,1
000034,20231020,1
000034,20231021,1
000034,20231022,1
000034,20231023,1
000034,20231024,1
000034,20231025,1
000034,20231026,1
000034,20231027,1
000034,20231028,1
000034,20231029,1
000034,20231030,1
000034,20231031,1
000034,20231101,1
000034,20231102,1
000034,20231103,1
000034,20231104,1
000035,20231105,1
000035,20231111,1
000035,20231112,1
000036,20231106,1
000036,20231107,1
000036,20231108,1
000036,20231109,1
000036,20231110,1
000036,20231113,1
000036,20231114,1
000036,20231115,1
000036,20231116,1
000036,20231117,1
000036,20231118,1
000036,20231119,1
000036,20231120,1
000036,20231121,1
000036,20231122,1
000036,20231123,1
000036,20231124,1
000036,20231125,1
000036,20231126,1
000036,20231127,1
000036,20231128,1
000036,20231129,1
000036,20231130,1
000036,20231201,1
000036,20231202,1
000036,20231203,1
000036,20231204,1
000036,20231205,1
000036,20231206,1
000036,20231207,1
000036,20231208,1
000036,20231209,1
000037,20231105,1
000037,20231106,1
000037,20231107,1
000037,20231108,1
000037,20231109,1
000037,20231110,1
000037,20231112,1
000037,20231113,1
000037,20231114,1
000037,20231115,1
000037,20231116,1
000037,20231117,1
000037,20231118,1
000037,20231119,1
000037,20231120,1
000037,20231121,1
000037,20231122,1
000037,20231123,1
000037,20231124,1
000037,20231125,1
000037,20231126,1
000037,20231127,1
000037,20231128,1
000037,20231129,1
000037,20231130,1
000037,20231201,1
000037,20231202,1
000037,20231203,1
000037,20231204,1
000037,20231205,1
000037,20231206,1
000037,20231207,1
000037,20231208,1
000037,20231209,1
000038,20231120,1
000038,20231121,1
000038,20231122,1
000038,20231123,1
000038,20231124,1
000038,20231127,1
000038,20231128,1
000038,20231129,1
000038,20231130,1
000038,20231201,1
000038,20231204,1
000038,20231205,1
000038,20231206,1
000038,20231207,1
000038,20231208,1
000039,20231010,1
000039,20231011,1
000039,20231012,1
000039,20231013,1
000040,20231020,1
000040,20231027,1
000040,20231103,1
000040,20231110,1
000040,20231117,1
000041,20231016,1
000041,20231017,1
000041,20231018,1
000041,20231019,1
000041,20231023,1
000041,20231024,1
000041,20231025,1
000041,20231026,1
000041,20231030,1
000041,20231031,1
000041,20231101,1
000041,20231102,1
000041,20231106,1
000041,20231107,1
000041,20231108,1
000041,20231109,1
000041,20231113,1
000041,20231114,1
000041,20231115,1
000041,20231116,1
000042,20231211,1
000042,20231212,1
000042,20231213,1
000042,20231214,1
000042,20231215,1
000042,20231218,1
000042,20231219,1
000042,20231220,1
000042,20231221,1
000042,20231222,1
000042,20231226,1
000042,20231227,1
000042,20231228,1
000042,20231229,1
000042,20240102,1
000042,20240103,1
000042,20240104,1
000042,20240105,1
000043,20240108,1
000044,20231012,1
000044,20231123,1
000044,20231130,1
000044,20231207,1
000045,20231016,1
000045,20231017,1
000045,20231018,1
000045,20231020,1
000045,20231021,1
000045,20231023,1
000045,20231024,1
000045,20231025,1
000045,20231027,1
000045,20231028,1
000045,20231030,1
000045,20231031,1
000045,20231101,1
000045,20231103,1
000045,20231104,1
000045,20231106,1
000045,20231107,1
000045,20231108,1
000045,20231110,1
000045,20231111,1
000045,20231113,1
000045,20231114,1
000045,20231115,1
000045,20231117,1
000045,20231118,1
000046,20231019,1
000046,20231026,1
000046,20231102,1
000046,20231109,1
000046,20231116,1
000047,20240102,1
000047,20240103,1
000047,20240104,1
000047,20240105,1
000047,20240106,1
000048,20231211,1
000048,20231212,1
000048,20231213,1
000048,20231214,1
000048,20231215,1
000048,20231216,1
