,stop_id_x,stop_name_x,stop_desc_x,stop_lat_x,stop_lon_x,zone_id_x,stop_url_x,location_type_x,parent_station_x,place_id_x,place_name_x,trip_id,arrival_time_x,departure_time_x,stop_sequence_x,stop_headsign_x,pickup_type_x,drop_off_type_x,shape_dist_traveled_x,stop_id_y,stop_name_y,stop_desc_y,stop_lat_y,stop_lon_y,zone_id_y,stop_url_y,location_type_y,parent_station_y,place_id_y,place_name_y,arrival_time_y,departure_time_y,stop_sequence_y,stop_headsign_y,pickup_type_y,drop_off_type_y,shape_dist_traveled_y,duration
2,StopPoint:OCEOUIGO-87324095,Futuroscope,,46.669918,0.377209,,,0,StopArea:OCE87324095,france_1,Futuroscope,OCESN4021F2638200:2023-10-09T00:43:50Z,10:10:00,10:13:00,4,,0,0,,StopPoint:OCEOUIGO-87581009,Bordeaux Saint-Jean,,44.825823,-0.556012,,,0,StopArea:OCE87581009,france_24,Bordeaux,12:30:00,12:30:00,7,,1,0,,137.0
3,StopPoint:OCEOUIGO-87547000,Paris Austerlitz,,48.840496,2.367079,,,0,StopArea:OCE87547000,france_19,Paris,OCESN4021F2638200:2023-10-09T00:43:50Z,06:52:00,06:52:00,0,,0,1,,StopPoint:OCEOUIGO-87324095,Futuroscope,,46.669918,0.377209,,,0,StopArea:OCE87324095,france_1,Futuroscope,10:10:00,10:13:00,4,,0,0,,198.0
5,StopPoint:OCEOUIGO-87547000,Paris Austerlitz,,48.840496,2.367079,,,0,StopArea:OCE87547000,france_19,Paris,OCESN4021F2638200:2023-10-09T00:43:50Z,06:52:00,06:52:00,0,,0,1,,StopPoint:OCEOUIGO-87581009,Bordeaux Saint-Jean,,44.825823,-0.556012,,,0,StopArea:OCE87581009,france_24,Bordeaux,12:30:00,12:30:00,7,,1,0,,338.0
10,StopPoint:OCEOUIGO-87324095,Futuroscope,,46.669918,0.377209,,,0,StopArea:OCE87324095,france_1,Futuroscope,OCESN4022F2638201:2023-10-10T00:42:10Z,16:07:00,16:10:00,3,,0,0,,StopPoint:OCEOUIGO-87547000,Paris Austerlitz,,48.840496,2.367079,,,0,StopArea:OCE87547000,france_19,Paris,19:08:00,19:08:00,7,,1,0,,178.0
15,StopPoint:OCEOUIGO-87581009,Bordeaux Saint-Jean,,44.825823,-0.556012,,,0,StopArea:OCE87581009,france_24,Bordeaux,OCESN4022F2638201:2023-10-10T00:42:10Z,13:50:00,13:50:00,0,,0,1,,StopPoint:OCEOUIGO-87324095,Futuroscope,,46.669918,0.377209,,,0,StopArea:OCE87324095,france_1,Futuroscope,16:07:00,16:10:00,3,,0,0,,137.0
16,StopPoint:OCEOUIGO-87581009,Bordeaux Saint-Jean,,44.825823,-0.556012,,,0,StopArea:OCE87581009,france_24,Bordeaux,OCESN4022F2638201:2023-10-10T00:42:10Z,13:50:00,13:50:00,0,,0,1,,StopPoint:OCEOUIGO-87547000,Paris Austerlitz,,48.840496,2.367079,,,0,StopArea:OCE87547000,france_19,Paris,19:08:00,19:08:00,7,,1,0,,318.0
20,StopPoint:OCEOUIGO-87324095,Futuroscope,,46.669918,0.377209,,,0,StopArea:OCE87324095,france_1,Futuroscope,OCESN4023F2638202:2023-10-10T00:42:10Z,10:22:00,10:24:00,4,,0,0,,StopPoint:OCEOUIGO-87581009,Bordeaux Saint-Jean,,44.825823,-0.556012,,,0,StopArea:OCE87581009,france_24,Bordeaux,12:38:00,12:38:00,7,,1,0,,134.0
21,StopPoint:OCEOUIGO-87547000,Paris Austerlitz,,48.840496,2.367079,,,0,StopArea:OCE87547000,france_19,Paris,OCESN4023F2638202:2023-10-10T00:42:10Z,07:19:00,07:19:00,0,,0,1,,StopPoint:OCEOUIGO-87324095,Futuroscope,,46.669918,0.377209,,,0,StopArea:OCE87324095,france_1,Futuroscope,10:22:00,10:24:00,4,,0,0,,183.0
23,StopPoint:OCEOUIGO-87547000,Paris Austerlitz,,48.840496,2.367079,,,0,StopArea:OCE87547000,france_19,Paris,OCESN4023F2638202:2023-10-10T00:42:10Z,07:19:00,07:19:00,0,,0,1,,StopPoint:OCEOUIGO-87581009,Bordeaux Saint-Jean,,44.825823,-0.556012,,,0,StopArea:OCE87581009,france_24,Bordeaux,12:38:00,12:38:00,7,,1,0,,319.0
28,StopPoint:OCEOUIGO-87324095,Futuroscope,,46.669918,0.377209,,,0,StopArea:OCE87324095,france_1,Futuroscope,OCESN4024F2638203:2023-10-09T00:43:50Z,16:46:00,16:49:00,3,,0,0,,StopPoint:OCEOUIGO-87547000,Paris Austerlitz,,48.840496,2.367079,,,0,StopArea:OCE87547000,france_19,Paris,19:34:00,19:34:00,7,,1,0,,165.0
