place_id,place_name,stop_id,stop_name,stop_lat,stop_lon,place_brief_desc,place_longer_desc,place_image,place_tags,place_links
1,Futuroscope,StopPoint:OCEOUIGO-87324095,Futuroscope,46.6699180,0.37720900,Science/tech theme park,"French theme park based upon multimedia, cinematographic, and audiovisual techniques. It has several 3D cinemas and a few 4D cinemas along with other attractions and shows, some of which are the only examples in the world",https://www.futuroscope.com/uploads/media/cache/slider_desktop/upload/image/1280x680_ENG_MI-SAISON.jpg,museum|science|kids,https://www.futuroscope.com/en/
2,Versailles,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,48.7956490,2.13592400,Royal palace,The Palace of Versailles is a former royal residence built by King Louis XIV,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Ch%C3%A2teau_de_Versailles_%28Orangerie%29.jpg/1280px-Ch%C3%A2teau_de_Versailles_%28Orangerie%29.jpg,museum|history|kids| culture,https://en.chateauversailles.fr/
4,Chartres,StopPoint:OCEOUIGO-87394007,Chartres,48.4486280,1.48120200,Chartres famed for its massive Cathédrale Notre-Dame,"Chartres, a city in north-central France southwest of Paris, is famed for its massive Cathédrale Notre-Dame. The Gothic cathedral, completed in 1220, features 2 towering spires, flying buttresses, Romanesque sculptures, pavement labyrinth and elaborate rose windows. The interior's blue-tinted stained glass is distinctive, and the nearby Centre International du Vitrail has workshops and exhibits on stained-glass art",https://upload.wikimedia.org/wikipedia/commons/6/6a/Chartres_-_Clo%C3%AEtre_Notre-Dame_-_Cath%C3%A9drale_Notre-Dame_de_Chartres_1193-1250_-_North_porch_of_Cath%C3%A9drale_Notre-Dame_de_Chartres_-_Left_bay_of_north_porch_of_Cath%C3%A9drale_Notre-Dame_de_Chartres_01.jpg,city break| culture| history,https://www.chartres-tourisme.com/en
6,Rennes,StopPoint:OCEOUIGO-87471003,Rennes,48.1030710,-1.6721310,Rennes,"Rennes is the chief city of Brittany in northwest France. It's mostly modern and industrial, but has many grand 18th and 19th century buildings, and survivors of earlier times. It's also well-endowed with cultural attractions. In 2020 the city population was 222,485, with about 150,000 more living in the wider metropolis.",https://upload.wikimedia.org/wikipedia/commons/8/8f/Renne_banner.jpg,city break,https://en.wikivoyage.org/wiki/Rennes
10,La Rochelle,StopPoint:OCEINTERCITES-87485003,La Rochelle,46.1527030,-1.1452880,La Rochelle,"La Rochelle, capital of Charente-Maritime and one of the most livable cities in France, is a pretty good place to go and get nautical.",https://lh5.googleusercontent.com/1lhOkw7mb1tjYXRmy8mnq0EfurGEXw-3SYoXNMRN3TzEgyYQanwdWpwKx5TBCTpiAaOqbT5g-PzOssErNk30scg=w16383,,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/la-rochelle
15,Saintes,StopPoint:OCEINTERCITES-87491001,Saintes,45.7488860,-0.6173560,Saintes,"Saintes is a city on the Charente river in Charente-Maritime, in southwestern France. It was the capital of the historical Saintogne County, many landmarks from its glorious past have been preserved, and as such it has been classified as a Ville d'art et d'histoire (""City of art and history"").",https://upload.wikimedia.org/wikipedia/commons/0/07/Saintes_Banner.png,history|city break,https://en.wikivoyage.org/wiki/Saintes
19,Paris,StopPoint:OCEOUIGO-87547000,Paris Austerlitz,48.8404960,2.36707900,Paris,"We’ll always have Paris' - Casablanca \nAh Paris, where do you start...",https://lh6.googleusercontent.com/cjoB14f8hoFIScIN-lS0AFZ7VN05Hqg-2nGynptvQP4ZXIM4aVxLcexxtnoICM9X0xUo7zvcrJz3AoJNajeGhbQ=w16383,history|kids|city break,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/paris
24,Bordeaux,StopPoint:OCEOUIGO-87581009,Bordeaux Saint-Jean,44.8258230,-0.5560120,Bordeaux,"Bordeaux, resting on the banks of the Garonne is the global capital of wine and it would be rude not to get straight to the point and pay a visit to La Cité du Vin where you can learn about how the giggle-juice is made and maybe do some tasting?",https://lh4.googleusercontent.com/OvutzVxc8rop6CbW76s32yeurjE6vOno61BBSNB0OOlYJfgYOYESE83amOp7Nxbqwycv3BI73dJs3tGw3QLCOx0=w16383,history|kids|city break,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/bordeaux
28,Limoges,StopPoint:OCEINTERCITES-87592006,Limoges Bénédictins,45.8372180,1.26900800,Limoges,"Limoges is a city in southwest-central France. It’s known for its decorated porcelain, much of which is on display at the Musée National Adrien Dubouché. In the historic center, medieval timber-frame houses line Rue de la Boucherie. Set in the former Episcopal Palace, the Musée des Beaux-Arts showcases the history of the city's medieval enamel. The Gothic Cathédrale St-Étienne de Limoges took 6 centuries to complete",https://upload.wikimedia.org/wikipedia/commons/f/f0/Limoges_banner.jpg,history|art,https://en.wikivoyage.org/wiki/Limoges
38,Toulouse,StopPoint:OCEINTERCITES de nuit-87611004,Toulouse Matabiau,43.6114370,1.45423700,Toulouse,"Toulouse, known as 'La Ville Rose', is the proud capital of the Occitan region of France which has had a distinctly independent culture and language - hence its bilingual street signs. Wandering around the city with its rose-coloured bricks, it does feel markedly different from the yellow limestone which dominates so many parts of France.",https://lh3.googleusercontent.com/otTmj5ar3j_EmP1swxMdojMoiuoNQC1Cq-uWYa5QcA-IcFXh_d4fGO-MHSSdPX8o4TgjmXnz5oWjT389zJ2-XGM=w16383,history|food,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/toulouse
