stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,place_id,place_name
StopArea:OCE87324095,Futuroscope,,46.6699180,0.37720900,,,1,,1,Futuroscope
StopPoint:OCEOUIGO-87324095,Futuroscope,,46.6699180,0.37720900,,,0,StopArea:OCE87324095,1,Futuroscope
StopArea:OCE87393009,Versailles Chantiers,,48.7956490,2.13592400,,,1,,2,Versailles Chantiers
StopPoint:OCEOUIGO-87393009,Versailles Chantiers,,48.7956490,2.13592400,,,0,StopArea:OCE87393009,2,Versailles Chantiers
StopArea:OCE87393579,Massy-Palaiseau,,48.7256310,2.25786800,,,1,,3,Massy-Palaiseau
StopPoint:OCEOUIGO-87393579,Massy-Palaiseau,,48.7256310,2.25786800,,,0,StopArea:OCE87393579,3,Massy-Palaiseau
StopArea:OCE87394007,Chartres,,48.4486280,1.48120200,,,1,,4,Chartres
StopPoint:OCEOUIGO-87394007,Chartres,,48.4486280,1.48120200,,,0,StopArea:OCE87394007,4,Chartres
StopArea:OCE87396002,Le Mans,,47.9952170,0.19243400,,,1,,5,Le Mans
StopPoint:OCEOUIGO-87396002,Le Mans,,47.9952170,0.19243400,,,0,StopArea:OCE87396002,5,Le Mans
StopArea:OCE87471003,Rennes,,48.1030710,-1.6721310,,,1,,6,Rennes
StopPoint:OCEOUIGO-87471003,Rennes,,48.1030710,-1.6721310,,,0,StopArea:OCE87471003,6,Rennes
StopArea:OCE87478404,Laval,,48.0763180,-0.7611460,,,1,,7,Laval
StopPoint:OCEOUIGO-87478404,Laval,,48.0763180,-0.7611460,,,0,StopArea:OCE87478404,7,Laval
StopArea:OCE87485003,La Rochelle,,46.1527030,-1.1452880,,,1,,10,La Rochelle
StopPoint:OCEINTERCITES-87485003,La Rochelle,,46.1527030,-1.1452880,,,0,StopArea:OCE87485003,10,La Rochelle
StopArea:OCE87491001,Saintes,,45.7488860,-0.6173560,,,1,,15,Saintes
StopPoint:OCEINTERCITES-87491001,Saintes,,45.7488860,-0.6173560,,,0,StopArea:OCE87491001,15,Saintes
StopArea:OCE87547000,Paris Austerlitz,,48.8404960,2.36707900,,,1,,19,Paris
StopPoint:OCEINTERCITES-87547000,Paris Austerlitz,,48.8404960,2.36707900,,,0,StopArea:OCE87547000,19,Paris
StopPoint:OCEINTERCITES de nuit-87547000,Paris Austerlitz,,48.8404960,2.36707900,,,0,StopArea:OCE87547000,19,Paris
StopPoint:OCEOUIGO-87547000,Paris Austerlitz,,48.8404960,2.36707900,,,0,StopArea:OCE87547000,19,Paris
StopArea:OCE87581009,Bordeaux Saint-Jean,,44.8258230,-0.5560120,,,1,,24,Bordeaux
StopPoint:OCEINTERCITES-87581009,Bordeaux Saint-Jean,,44.8258230,-0.5560120,,,0,StopArea:OCE87581009,24,Bordeaux
StopPoint:OCEOUIGO-87581009,Bordeaux Saint-Jean,,44.8258230,-0.5560120,,,0,StopArea:OCE87581009,24,Bordeaux
StopArea:OCE87592006,Limoges Bénédictins,,45.8372180,1.26900800,,,1,,28,Limoges
StopPoint:OCEINTERCITES-87592006,Limoges Bénédictins,,45.8372180,1.26900800,,,0,StopArea:OCE87592006,28,Limoges
StopArea:OCE87611004,Toulouse Matabiau,,43.6114370,1.45423700,,,1,,38,Toulouse
StopPoint:OCEINTERCITES-87611004,Toulouse Matabiau,,43.6114370,1.45423700,,,0,StopArea:OCE87611004,38,Toulouse
StopPoint:OCEINTERCITES de nuit-87611004,Toulouse Matabiau,,43.6114370,1.45423700,,,0,StopArea:OCE87611004,38,Toulouse
StopArea:OCE87611483,Latour-de-Carol - Enveitg,,42.4589540,1.90450900,,,1,,45,Latour-de-Carol - Enveitg
StopPoint:OCEINTERCITES de nuit-87611483,Latour-de-Carol - Enveitg,,42.4589540,1.90450900,,,0,StopArea:OCE87611483,45,Latour-de-Carol - Enveitg
StopArea:OCE87615286,Carcassonne,,43.2181650,2.35243000,,,1,,72,Carcassonne
StopPoint:OCEINTERCITES-87615286,Carcassonne,,43.2181650,2.35243000,,,0,StopArea:OCE87615286,72,Carcassonne
StopPoint:OCEINTERCITES de nuit-87615286,Carcassonne,,43.2181650,2.35243000,,,0,StopArea:OCE87615286,72,Carcassonne
StopArea:OCE87671339,Lourdes,,43.1006000,-0.0418120,,,1,,80,Lourdes
StopPoint:OCEINTERCITES-87671339,Lourdes,,43.1006000,-0.0418120,,,0,StopArea:OCE87671339,80,Lourdes
StopPoint:OCEINTERCITES de nuit-87671339,Lourdes,,43.1006000,-0.0418120,,,0,StopArea:OCE87671339,80,Lourdes
StopArea:OCE87673004,Bayonne,,43.4970180,-1.4701940,,,1,,83,Bayonne
StopPoint:OCEINTERCITES-87673004,Bayonne,,43.4970180,-1.4701940,,,0,StopArea:OCE87673004,83,Bayonne
StopArea:OCE87686006,Paris Gare de Lyon Hall 1 - 2,,48.8445780,2.37391200,,,1,,19,Paris
StopPoint:OCEINTERCITES-87686006,Paris Gare de Lyon Hall 1 - 2,,48.8445780,2.37391200,,,0,StopArea:OCE87686006,19,Paris
StopPoint:OCEOUIGO-87686006,Paris Gare de Lyon Hall 1 - 2,,48.8445780,2.37391200,,,0,StopArea:OCE87686006,19,Paris
StopArea:OCE87686667,Paris Bercy Bourg. Pays d'Auv.,,48.8391680,2.38291100,,,1,,19,Paris
StopPoint:OCEINTERCITES-87686667,Paris Bercy Bourg. Pays d'Auv.,,48.8391680,2.38291100,,,0,StopArea:OCE87686667,19,Paris
StopPoint:OCEINTERCITES de nuit-87686667,Paris Bercy Bourg. Pays d'Auv.,,48.8391680,2.38291100,,,0,StopArea:OCE87686667,19,Paris
StopPoint:OCEOUIGO-87686667,Paris Bercy Bourg. Pays d'Auv.,,48.8391680,2.38291100,,,0,StopArea:OCE87686667,19,Paris
StopArea:OCE87722025,Lyon Perrache,,45.7484760,4.82535300,,,1,,93,Lyon
StopPoint:OCEINTERCITES-87722025,Lyon Perrache,,45.7484760,4.82535300,,,0,StopArea:OCE87722025,93,Lyon
StopPoint:OCEOUIGO-87722025,Lyon Perrache,,45.7484760,4.82535300,,,0,StopArea:OCE87722025,93,Lyon
StopArea:OCE87723197,Lyon Part Dieu,,45.7605960,4.85940900,,,1,,93,Lyon
StopPoint:OCEINTERCITES-87723197,Lyon Part Dieu,,45.7605960,4.85940900,,,0,StopArea:OCE87723197,93,Lyon
StopPoint:OCEOUIGO-87723197,Lyon Part Dieu,,45.7605960,4.85940900,,,0,StopArea:OCE87723197,93,Lyon
StopArea:OCE87732008,Vichy,,46.1268820,3.43070700,,,1,,97,Vichy
StopPoint:OCEINTERCITES-87732008,Vichy,,46.1268820,3.43070700,,,0,StopArea:OCE87732008,97,Vichy
StopArea:OCE87751008,Marseille Saint-Charles,,43.3030300,5.38055500,,,1,,105,Marseille
StopPoint:OCEINTERCITES-87751008,Marseille Saint-Charles,,43.3030300,5.38055500,,,0,StopArea:OCE87751008,105,Marseille
StopArea:OCE87751081,Marseille Blancarde,,43.2961440,5.40655900,,,1,,105,Marseille
StopPoint:OCEINTERCITES de nuit-87751081,Marseille Blancarde,,43.2961440,5.40655900,,,0,StopArea:OCE87751081,105,Marseille
StopArea:OCE87753657,Arles,,43.6853590,4.63210900,,,1,,106,Arles
StopPoint:OCEINTERCITES-87753657,Arles,,43.6853590,4.63210900,,,0,StopArea:OCE87753657,106,Arles
StopArea:OCE87773002,Montpellier Saint-Roch,,43.6047800,3.88116800,,,1,,123,Montpellier
StopPoint:OCEINTERCITES-87773002,Montpellier Saint-Roch,,43.6047800,3.88116800,,,0,StopArea:OCE87773002,123,Montpellier
StopPoint:OCEINTERCITES de nuit-87773002,Montpellier Saint-Roch,,43.6047800,3.88116800,,,0,StopArea:OCE87773002,123,Montpellier
StopArea:OCE87773200,Sète,,43.4128080,3.69641000,,,1,,124,Sète
StopPoint:OCEINTERCITES-87773200,Sète,,43.4128080,3.69641000,,,0,StopArea:OCE87773200,124,Sète
StopPoint:OCEINTERCITES de nuit-87773200,Sète,,43.4128080,3.69641000,,,0,StopArea:OCE87773200,124,Sète
StopArea:OCE87775007,Nîmes Centre,,43.8323870,4.36608100,,,1,,125,Nîmes
StopPoint:OCEINTERCITES-87775007,Nîmes Centre,,43.8323870,4.36608100,,,0,StopArea:OCE87775007,125,Nîmes
StopPoint:OCEINTERCITES de nuit-87775007,Nîmes Centre,,43.8323870,4.36608100,,,0,StopArea:OCE87775007,125,Nîmes
StopArea:OCE87781104,Narbonne,,43.1906640,3.00556200,,,1,,127,Narbonne
StopPoint:OCEINTERCITES-87781104,Narbonne,,43.1906640,3.00556200,,,0,StopArea:OCE87781104,127,Narbonne
StopPoint:OCEINTERCITES de nuit-87781104,Narbonne,,43.1906640,3.00556200,,,0,StopArea:OCE87781104,127,Narbonne
StopArea:OCE87784009,Perpignan,,42.6960790,2.87962200,,,1,,145,Perpignan
StopPoint:OCEINTERCITES de nuit-87784009,Perpignan,,42.6960790,2.87962200,,,0,StopArea:OCE87784009,145,Perpignan
StopArea:OCE87784256,Collioure,,42.5269200,3.07824800,,,1,,148,Collioure
StopPoint:OCEINTERCITES de nuit-87784256,Collioure,,42.5269200,3.07824800,,,0,StopArea:OCE87784256,148,Collioure
StopArea:OCE87785006,Cerbère,,42.4427710,3.16552800,,,1,,151,Cerbère
StopPoint:OCEINTERCITES de nuit-87785006,Cerbère,,42.4427710,3.16552800,,,0,StopArea:OCE87785006,151,Cerbère
