id,index,place_id_x,place_id_y,duration_min,duration_max,duration_median
0,0,spain_1,spain_1,3.0,20.0,8.0
1,1,spain_1,spain_104,55.0,138.0,110.0
2,2,spain_1,spain_105,38.0,101.0,76.0
3,3,spain_1,spain_19,57.0,112.0,77.0
4,4,spain_1,spain_20,149.0,566.0,175.0
5,5,spain_1,spain_44,346.0,363.0,346.0
6,6,spain_1,spain_55,83.0,331.0,102.0
7,7,spain_1,spain_56,164.0,172.0,172.0
8,8,spain_1,spain_61,227.0,240.0,240.0
9,9,spain_1,spain_96,297.0,646.0,307.0
10,10,spain_1,spain_97,357.0,706.0,370.0
11,11,spain_104,spain_1,55.0,131.0,108.0
12,12,spain_104,spain_105,14.0,39.0,14.0
13,13,spain_104,spain_20,220.0,257.0,242.0
14,14,spain_104,spain_55,148.0,168.0,159.0
15,15,spain_105,spain_1,38.0,91.0,75.0
16,16,spain_105,spain_104,14.0,38.0,29.0
17,17,spain_105,spain_20,204.0,241.0,225.0
18,18,spain_105,spain_55,132.0,152.0,142.0
19,19,spain_139,spain_20,271.0,448.0,273.0
20,20,spain_139,spain_44,21.0,28.0,22.0
21,21,spain_162,spain_20,356.0,356.0,356.0
22,22,spain_162,spain_96,199.0,199.0,199.0
23,23,spain_19,spain_1,62.0,114.0,85.0
24,24,spain_19,spain_20,478.0,478.0,478.0
25,25,spain_19,spain_55,236.0,244.0,240.0
26,26,spain_20,spain_1,149.0,580.0,177.0
27,27,spain_20,spain_104,215.0,261.0,244.0
28,28,spain_20,spain_105,198.0,244.0,227.0
29,29,spain_20,spain_139,270.0,439.0,279.0
30,30,spain_20,spain_162,337.0,337.0,337.0
31,31,spain_20,spain_19,475.0,475.0,475.0
32,32,spain_20,spain_20,3.0,30.0,10.0
33,33,spain_20,spain_44,292.0,465.0,302.0
34,34,spain_20,spain_55,74.0,250.0,82.0
35,35,spain_20,spain_56,112.0,142.0,117.0
36,36,spain_20,spain_61,179.0,212.0,188.0
37,37,spain_20,spain_96,111.0,134.0,116.0
38,38,spain_20,spain_97,153.0,543.0,166.0
39,39,spain_44,spain_1,359.0,392.0,359.0
40,40,spain_44,spain_139,20.0,33.0,21.0
41,41,spain_44,spain_20,293.0,475.0,300.0
42,42,spain_44,spain_530,24.0,24.0,24.0
43,43,spain_44,spain_55,236.0,269.0,236.0
44,44,spain_44,spain_56,188.0,221.0,188.0
45,45,spain_44,spain_61,110.0,130.0,110.0
46,46,spain_530,spain_139,2.0,2.0,2.0
47,47,spain_55,spain_1,88.0,335.0,110.0
48,48,spain_55,spain_104,153.0,179.0,159.0
49,49,spain_55,spain_105,136.0,162.0,142.0
50,50,spain_55,spain_19,230.0,235.0,230.0
51,51,spain_55,spain_20,78.0,240.0,80.0
52,52,spain_55,spain_44,227.0,244.0,227.0
53,53,spain_55,spain_56,40.0,58.0,51.0
54,54,spain_55,spain_61,104.0,151.0,119.0
55,55,spain_55,spain_742,135.0,154.0,135.0
56,56,spain_55,spain_96,184.0,201.0,190.0
57,57,spain_55,spain_97,240.0,254.0,247.0
58,58,spain_56,spain_1,167.0,192.0,179.0
59,59,spain_56,spain_20,120.0,146.0,129.0
60,60,spain_56,spain_44,181.0,198.0,181.0
61,61,spain_56,spain_55,36.0,65.0,45.0
62,62,spain_56,spain_61,56.0,104.0,67.0
63,63,spain_61,spain_1,225.0,250.0,250.0
64,64,spain_61,spain_20,185.0,210.0,190.0
65,65,spain_61,spain_44,106.0,113.0,106.0
66,66,spain_61,spain_55,94.0,133.0,116.0
67,67,spain_61,spain_56,57.0,87.0,69.0
68,68,spain_742,spain_55,130.0,148.0,130.0
69,69,spain_96,spain_1,284.0,606.0,290.0
70,70,spain_96,spain_162,201.0,201.0,201.0
71,71,spain_96,spain_20,113.0,155.0,118.0
72,72,spain_96,spain_55,176.0,198.0,179.0
73,73,spain_96,spain_97,47.0,87.0,49.0
74,74,spain_97,spain_1,342.0,665.0,366.0
75,75,spain_97,spain_20,156.0,534.0,172.0
76,76,spain_97,spain_55,237.0,256.0,246.5
77,77,spain_97,spain_96,47.0,90.0,48.0
