place_id,place_name,stop_lat,stop_lon,place_brief_desc,place_longer_desc,place_image,place_tags,place_links
spain_1,Barcelona,41.37922,2.140624,"With around 20 million tourists per year, Barcelona is on the popular side...But it's with good reason. It's a sophisticated beach-side party town with world class architecture.",,../static/images/spain/barcelona.png,history|art,../static/places/spain/barcelona.html
spain_19,Tarragona,41.1116240,1.25321400,"Tarragona seems to effortlessly juggle being both a UNESCO-listed tourist destination and a busy port with all the associated industry",,../static/images/spain/tarragona.png,,../static/places/spain.tarragona.html
spain_20,Madrid,40.4720993,-3.6824687,"Madrid, capital of Spain and former centre of a vast new-world empire has accumulated a wealth of art and architecture that should tickle even the most jaded of travellers.",,../static/images/spain/madrid.png,,../static/places/spain/madrid.html
spain_44,San Sebastian/donostia,43.317669,-1.976704,"Being just 20km from the French border, San Sebastian (Donostia in Basque) is an ideal hop off when travelling to Spain. Where better to top up your tan, fill up your tummy and empty your wallet in this seductively urbane resort?",,../static/images/spain/san-sebastian.png,,../static/places/spain/san-sebastian.html
spain_55,Zaragoza,41.658649,-0.911615,"The capital of Aragon has plenty to see in do thanks to two thousand years of history and two cathedrals",,../static/images/spain/zaragoza.png,,../static/places/spain/zaragoza.html
spain_56,Tudela de Navarra,42.0594340,-1.5979310,"With arid desert to the north and lush market gardens to the south, Tudela is quite unlike the rest of Navarre. For a start, you can leave behind your Basque dictionary as Spanish is the only official language here.",,../static/images/spain/tudela.png,,../static/places/spain/tudela.html
spain_61,Pamplona/irunya,42.8248770,-1.6614190,"Pamplona, Iruña in Basque, is the historic capital of the Kingdom of Navarre which straddled Spain and France.",,../static/images/spain/pamplona.png,,../static/places/spain/pamplona.html
spain_20,Madrid,40.4064420,-3.6908860,"Madrid, capital of Spain and former centre of a vast new-world empire has accumulated a wealth of art and architecture that should tickle even the most jaded of travellers.",,../static/images/spain/madrid.png,,../static/places/spain/madrid.html
spain_96,Cordoba,37.8882910,-4.7894530,"Córdoba's Mezquita (Great Mosque) with it's nested cathedral is reason enough to come here on its own, but there's plenty else to see and do in this ancient Andalusian city.",,../static/images/spain/cordoba.png,,../static/places/spain/cordoba.html
spain_97,Sevilla,37.3921277,-5.9752694,"Few places encapsulate the story of Spain as well as Seville. And where better to tell that story than the vast Gothic Cathedral which was built on the site of a Moorish mosque and contains the remains of Christopher Columbus.",,../static/images/spain/seville.png,,../static/places/spain/seville.html
spain_104,Figueres,42.2647710,2.94354700,"Figueres is the home of Salvador Dalí",,../static/images/spain/figueres.png,,../static/places/spain/figueres.html
spain_105,Girona,41.9793030,2.81700600,"The Catalan city of Girona is the smart choice for those who have found Barcelona just a bit too much...",,../static/images/spain/girona.png,,../static/places/spain/girona.html
spain_139,Tolosa,43.131936,-2.085247,"If you are planning on travelling between San Sebastian and Pamplona, then why not make a detour via Tolosa?",,../static/images/spain/tolosa.png,,../static/places/spain/tolosa.html
spain_162,Algeciras,36.1268310,-5.4511080,"The historic and forever functional Gibraltar is quite unique and a fitting endpoint for any journey from Blighty",,../static/images/spain/algeciras-gibraltar.png,,../static/places/spain/algeciras-gibraltar.html
spain_530,Tolosa,43.13597,-2.078512,"If you are planning on travelling between San Sebastian and Pamplona, then why not make a detour via Tolosa?",,../static/images/spain/tolosa.png,,../static/places/spain/tolosa.html
spain_742,Teruel,40.3410290,-1.1102840,"famed as the town that doesn't exist - it's clearly a hidden gem",,../static/images/spain/teruel.png,,../static/places/spain/teruel.html
