place_id,place_name,stop_id,stop_name,stop_desc,stop_lat,stop_lon,place_brief_desc,place_longer_desc,place_image,place_tags,place_links
spain_1,Barcelona,71801,Estación de tren Barcelona-Sants,,41.37922,2.140624,"With around 20 million tourists per year, Barcelona is on the popular side...But it's with good reason. It's a sophisticated beach-side party town with world class architecture.",,../static/images/spain/barcelona.png,history|art,../static/places/spain/barcelona.html
spain_19,Tarragona,71500,Estación de tren Tarragona,,41.1116240,1.25321400,Tarragona seems to effortlessly juggle being both a UNESCO-listed tourist destination and a busy port with all the associated industry,,../static/images/spain/tarragona.png,,../static/places/spain.tarragona.html
spain_20,Madrid,17000,Estación de tren Madrid-Chamartin,,40.4720993,-3.6824687,"Madrid, capital of Spain and former centre of a vast new-world empire has accumulated a wealth of art and architecture that should tickle even the most jaded of travellers.",,../static/images/spain/madrid.png,,../static/places/spain/madrid.html
spain_20,Madrid,18000,Estación de tren Madrid - Atocha Cercanias,,40.4061556,-3.6889579,"Madrid, capital of Spain and former centre of a vast new-world empire has accumulated a wealth of art and architecture that should tickle even the most jaded of travellers.",,../static/images/spain/madrid.png,,../static/places/spain/madrid.html
spain_44,San Sebastian/donostia,11511,Estación de tren San Sebastian/donostia,,43.317669,-1.976704,"Being just 20km from the French border, San Sebastian (Donostia in Basque) is an ideal hop off when travelling to Spain. Where better to top up your tan, fill up your tummy and empty your wallet in this seductively urbane resort?",,../static/images/spain/san-sebastian.png,,../static/places/spain/san-sebastian.html
spain_55,Zaragoza,04040,Estación de tren Zaragoza-Delicias,,41.658649,-0.911615,The capital of Aragon has plenty to see in do thanks to two thousand years of history and two cathedrals,,../static/images/spain/zaragoza.png,,../static/places/spain/zaragoza.html
spain_56,Tudela de Navarra,81202,Estación de tren Tudela de Navarra,,42.0594340,-1.5979310,"With arid desert to the north and lush market gardens to the south, Tudela is quite unlike the rest of Navarre. For a start, you can leave behind your Basque dictionary as Spanish is the only official language here.",,../static/images/spain/tudela.png,,../static/places/spain/tudela.html
spain_61,Pamplona/irunya,80100,Estación de tren Pamplona/irunya,,42.8248770,-1.6614190,"Pamplona, Iruña in Basque, is the historic capital of the Kingdom of Navarre which straddled Spain and France.",,../static/images/spain/pamplona.png,,../static/places/spain/pamplona.html
spain_20,Madrid,60000,Estación de tren Madrid-Puerta de Atocha,,40.4064420,-3.6908860,"Madrid, capital of Spain and former centre of a vast new-world empire has accumulated a wealth of art and architecture that should tickle even the most jaded of travellers.",,../static/images/spain/madrid.png,,../static/places/spain/madrid.html
spain_96,Cordoba,50500,Estación de tren Cordoba,,37.8882910,-4.7894530,"Córdoba's Mezquita (Great Mosque) with it's nested cathedral is reason enough to come here on its own, but there's plenty else to see and do in this ancient Andalusian city.",,../static/images/spain/cordoba.png,,../static/places/spain/cordoba.html
spain_97,Seville,51003,Estación de tren Sevilla-Santa Justa,,37.3921277,-5.9752694,Few places encapsulate the story of Spain as well as Seville. And where better to tell that story than the vast Gothic Cathedral which was built on the site of a Moorish mosque and contains the remains of Christopher Columbus.,,../static/images/spain/seville.png,,../static/places/spain/seville.html
spain_104,Figueres,04307,Estación de tren Figueres Vilafant,,42.2647710,2.94354700,Figueres is the home of Salvador Dalí,,../static/images/spain/figueres.png,,../static/places/spain/figueres.html
spain_105,Girona,79300,Estación de tren Girona,,41.9793030,2.81700600,The Catalan city of Girona is the smart choice for those who have found Barcelona just a bit too much...,,../static/images/spain/girona.png,,../static/places/spain/girona.html
spain_139,Tolosa,11500,Estación de tren Tolosa,,43.131936,-2.085247,"If you are planning on travelling between San Sebastian and Pamplona, then why not make a detour via Tolosa?",,../static/images/spain/tolosa.png,,../static/places/spain/tolosa.html
spain_162,Algeciras,55020,Estación de tren Algeciras,,36.1268310,-5.4511080,The historic and forever functional Gibraltar is quite unique and a fitting endpoint for any journey from Blighty. Make sure to savour the experience of walking across the runway (following the green cross code at the pedestrian lights).,,../static/images/spain/algeciras-gibraltar.png,,../static/places/spain/algeciras-gibraltar.html
spain_104,Figueres,79309,Estación de tren Figueres,,42.2650650,2.96878700,Figueres is the home of Salvador Dalí,,../static/images/spain/figueres.png,,../static/places/spain/figueres.html
spain_1,Barcelona,71802,Estación de tren Barcelona-Passeig de Gracia,,41.392281,2.164896,"With around 20 million tourists per year, Barcelona is on the popular side...But it's with good reason. It's a sophisticated beach-side party town with world class architecture.",,../static/images/spain/barcelonahtml,history|art,../static/places/spain/barcelona.html
spain_1,Barcelona,79009,Estación de tren Barcelona-Clot-Arago,,41.41745,2.192893,"With around 20 million tourists per year, Barcelona is on the popular side...But it's with good reason. It's a sophisticated beach-side party town with world class architecture.",,../static/images/spain/barcelonahtml,history|art,../static/places/spain/barcelona.html
spain_1,Barcelona,79400,Estación de tren Barcelona-Estació de França,,41.384089,2.187004,"With around 20 million tourists per year, Barcelona is on the popular side...But it's with good reason. It's a sophisticated beach-side party town with world class architecture.",,../static/images/spain/barcelonahtml,history|art,../static/places/spain/barcelona.html
spain_1,Barcelona,78805,Estación de tren Barcelona-Placa de Catalunya,,41.386726,2.166458,"With around 20 million tourists per year, Barcelona is on the popular side...But it's with good reason. It's a sophisticated beach-side party town with world class architecture.",,../static/images/spain/barcelonahtml,history|art,../static/places/spain/barcelona.html
spain_1,Barcelona,78804,Estación de tren Barcelona-Arc de Triomf,,41.391864,2.180076,"With around 20 million tourists per year, Barcelona is on the popular side...But it's with good reason. It's a sophisticated beach-side party town with world class architecture.",,../static/images/spain/barcelonahtml,history|art,../static/places/spain/barcelona.html
spain_1,Barcelona,78806,Estación de tren Barcelona La Sagrera Meridiana,,41.422638,2.187262,"With around 20 million tourists per year, Barcelona is on the popular side...But it's with good reason. It's a sophisticated beach-side party town with world class architecture.",,../static/images/spain/barcelonahtml,history|art,../static/places/spain/barcelona.html
spain_1,Barcelona,78801,Estación de tren Barcelona-Torre del Baro,,41.460945,2.181042,"With around 20 million tourists per year, Barcelona is on the popular side...But it's with good reason. It's a sophisticated beach-side party town with world class architecture.",,../static/images/spain/barcelonahtml,history|art,../static/places/spain/barcelona.html
spain_1,Barcelona,79004,Estación de tren Barcelona-Sant Andreu Comtal,,41.435807,2.193572,"With around 20 million tourists per year, Barcelona is on the popular side...But it's with good reason. It's a sophisticated beach-side party town with world class architecture.",,../static/images/spain/barcelonahtml,history|art,../static/places/spain/barcelona.html
spain_530,Tolosa,11501,Estación de tren Tolosa Centro,,43.13597,-2.078512,"If you are planning on travelling between San Sebastian and Pamplona, then why not make a detour via Tolosa?",,../static/images/spain/tolosa.png,,../static/places/spain/tolosa.html
spain_20,Madrid,10000,Estación de tren Madrid-Principe Pio,,40.4215361,-3.7190805,"Madrid, capital of Spain and former centre of a vast new-world empire has accumulated a wealth of art and architecture that should tickle even the most jaded of travellers.",,../static/images/spain/madrid.png,,../static/places/spain/madrid.html
spain_20,Madrid,18001,Estación de tren Madrid-Recoletos,,40.4234123,-3.6908535,"Madrid, capital of Spain and former centre of a vast new-world empire has accumulated a wealth of art and architecture that should tickle even the most jaded of travellers.",,../static/images/spain/madrid.png,,../static/places/spain/madrid.html
spain_20,Madrid,18002,Estación de tren Madrid-Nuevos Ministerios,,40.4466171,-3.6923408,"Madrid, capital of Spain and former centre of a vast new-world empire has accumulated a wealth of art and architecture that should tickle even the most jaded of travellers.",,../static/images/spain/madrid.png,,../static/places/spain/madrid.html
spain_20,Madrid,97201,Estación de tren Madrid-Ramon Y Cajal,,40.4882980,-3.6946827,"Madrid, capital of Spain and former centre of a vast new-world empire has accumulated a wealth of art and architecture that should tickle even the most jaded of travellers.",,../static/images/spain/madrid.png,,../static/places/spain/madrid.html
spain_742,Teruel,67200,Estación de tren Teruel,,40.3410290,-1.1102840,famed as the town that doesn't exist - it's clearly a hidden gem,,../static/images/spain/teruel.png,,../static/places/spain/teruel.html
