place_id,place_name,stop_lat,stop_lon,place_brief_desc,place_longer_desc,place_image,place_tags,place_links
spain_1,Barcelona,41.37922,2.140624,"With around 20 million tourists per year, Barcelona is on the popular side...But it's with good reason. It's a sophisticated beach-side party town with world class architecture.",,../static/images/spain/barcelona.png,history|art,../static/places/spain/barcelona.html
spain_19,Tarragona,41.1116240,1.25321400,"Tarragona seems to effortlessly juggle being both a UNESCO-listed tourist destination and a busy port with all the associated industry",,../static/images/spain/tarragona.png,,../static/places/spain.tarragona.html
spain_20,Madrid,40.4720993,-3.6824687,"Madrid, capital of Spain and former centre of a vast new-world empire has accumulated a wealth of art and architecture that should tickle even the most jaded of travellers.",,../static/images/spain/madrid.png,,../static/places/spain/madrid.html
spain_44,San Sebastian/donostia,43.317669,-1.976704,"Being just 20km from the French border, San Sebastian (Donostia in Basque) is an ideal hop off when travelling to Spain. Where better to top up your tan, fill up your tummy and empty your wallet in this seductively urbane resort?",,../static/images/spain/san-sebastian.png,,../static/places/spain/san-sebastian.html
spain_55,Zaragoza,41.658649,-0.911615,"The capital of Aragon has plenty to see in do thanks to two thousand years of history and two cathedrals",,../static/images/spain/zaragoza.png,,../static/places/spain/zaragoza.html
spain_56,Tudela de Navarra,42.0594340,-1.5979310,"With arid desert to the north and lush market gardens to the south, Tudela is quite unlike the rest of Navarre. For a start, you can leave behind your Basque dictionary as Spanish is the only official language here.",,../static/images/spain/tudela.png,,../static/places/spain/tudela.html
spain_61,Pamplona/irunya,42.8248770,-1.6614190,"Pamplona, Iruña in Basque, is the historic capital of the Kingdom of Navarre which straddled Spain and France.",,../static/images/spain/pamplona.png,,../static/places/spain/pamplona.html
spain_20,Madrid,40.4064420,-3.6908860,"Madrid, capital of Spain and former centre of a vast new-world empire has accumulated a wealth of art and architecture that should tickle even the most jaded of travellers.",,../static/images/spain/madrid.png,,../static/places/spain/madrid.html
spain_96,Cordoba,37.8882910,-4.7894530,"Córdoba's Mezquita (Great Mosque) with it's nested cathedral is reason enough to come here on its own, but there's plenty else to see and do in this ancient Andalusian city.",,../static/images/spain/cordoba.png,,../static/places/spain/cordoba.html
spain_97,Sevilla,37.3921277,-5.9752694,"Few places encapsulate the story of Spain as well as Seville. And where better to tell that story than the vast Gothic Cathedral which was built on the site of a Moorish mosque and contains the remains of Christopher Columbus.",,../static/images/spain/seville.png,,../static/places/spain/seville.html
spain_104,Figueres,42.2647710,2.94354700,"Figueres is the home of Salvador Dalí",,../static/images/spain/figueres.png,,../static/places/spain/figueres.html
spain_105,Girona,41.9793030,2.81700600,"The Catalan city of Girona is the smart choice for those who have found Barcelona just a bit too much...",,../static/images/spain/girona.png,,../static/places/spain/girona.html
spain_139,Tolosa,43.131936,-2.085247,"If you are planning on travelling between San Sebastian and Pamplona, then why not make a detour via Tolosa?",,../static/images/spain/tolosa.png,,../static/places/spain/tolosa.html
spain_162,Algeciras,36.1268310,-5.4511080,"The historic and forever functional Gibraltar is quite unique and a fitting endpoint for any journey from Blighty",,../static/images/spain/algeciras-gibraltar.png,,../static/places/spain/algeciras-gibraltar.html
spain_530,Tolosa,43.13597,-2.078512,"If you are planning on travelling between San Sebastian and Pamplona, then why not make a detour via Tolosa?",,../static/images/spain/tolosa.png,,../static/places/spain/tolosa.html
spain_742,Teruel,40.3410290,-1.1102840,"famed as the town that doesn't exist - it's clearly a hidden gem",,../static/images/spain/teruel.png,,../static/places/spain/teruel.html
france_1,Futuroscope,StopPoint:OCEOUIGO-87324095,Futuroscope,46.6699180,0.37720900,"French theme park based upon multimedia, cinematographic, and audiovisual techniques.","French theme park based upon multimedia, cinematographic, and audiovisual techniques. It has several 3D cinemas and a few 4D cinemas along with other attractions and shows, some of which are the only examples in the world",../static/images/futuroscope.jpg,museum|science|kids,../static/places/futuroscope.html
france_2,Versailles,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,48.7956490,2.13592400,Home of the palace built by King Louis XIV,The Palace of Versailles is a former royal residence built by King Louis XIV,../static/images/versailles.jpg,museum|history|kids| culture,../static/places/versailles.html
france_4,Chartres,StopPoint:OCEOUIGO-87394007,Chartres,48.4486280,1.48120200,Chartres famed for its massive Cathédrale Notre-Dame,"Chartres, a city in north-central France southwest of Paris, is famed for its massive Cathédrale Notre-Dame. The Gothic cathedral, completed in 1220, features 2 towering spires, flying buttresses, Romanesque sculptures, pavement labyrinth and elaborate rose windows. The interior's blue-tinted stained glass is distinctive, and the nearby Centre International du Vitrail has workshops and exhibits on stained-glass art",../static/images/chartres.png,city break| culture| history,../static/places/chartres.html
france_6,Rennes,StopPoint:OCEOUIGO-87471003,Rennes,48.1030710,-1.6721310,"Rennes is the chief city of Brittany in northwest France. It's mostly modern and industrial, but has many grand 18th and 19th century buildings.","Rennes is the chief city of Brittany in northwest France. It's mostly modern and industrial, but has many grand 18th and 19th century buildings, and survivors of earlier times. It's also well-endowed with cultural attractions. In 2020 the city population was 222,485, with about 150,000 more living in the wider metropolis.",../static/images/rennes.png,city break,../static/places/rennes.html
france_10,La Rochelle,StopPoint:OCEINTERCITES-87485003,La Rochelle,46.1527030,-1.1452880,"La Rochelle, capital of Charente-Maritime and one of the most livable cities in France, is a pretty good place to go and get nautical.","La Rochelle, capital of Charente-Maritime and one of the most livable cities in France, is a pretty good place to go and get nautical.",../static/images/la-rochelle.png,,../static/places/la-rochelle.html
france_15,Saintes,StopPoint:OCEINTERCITES-87491001,Saintes,45.7488860,-0.6173560,Saintes,"Saintes is a city on the Charente river in Charente-Maritime, in southwestern France. It was the capital of the historical Saintogne County, many landmarks from its glorious past have been preserved, and as such it has been classified as a Ville d'art et d'histoire (""City of art and history"").",../static/images/la-rochelle.png,history|city break,../static/places/saintes.html
france_19,Paris,StopPoint:OCEOUIGO-87547000,Paris Austerlitz,48.8404960,2.36707900,Paris,"We’ll always have Paris' - Casablanca \nAh Paris, where do you start...",../static/images/paris.png,history|kids|city break,../static/places/paris.html
france_24,Bordeaux,StopPoint:OCEOUIGO-87581009,Bordeaux Saint-Jean,44.8258230,-0.5560120,Bordeaux,"Bordeaux, resting on the banks of the Garonne is the global capital of wine and it would be rude not to get straight to the point and pay a visit to La Cité du Vin where you can learn about how the giggle-juice is made and maybe do some tasting?",../static/images/bordeaux.png,history|kids|city break,../static/places/bordeaux.html
france_28,Limoges,StopPoint:OCEINTERCITES-87592006,Limoges Bénédictins,45.8372180,1.26900800,Limoges,"Limoges is a city in southwest-central France. It’s known for its decorated porcelain, much of which is on display at the Musée National Adrien Dubouché. In the historic center, medieval timber-frame houses line Rue de la Boucherie. Set in the former Episcopal Palace, the Musée des Beaux-Arts showcases the history of the city's medieval enamel. The Gothic Cathédrale St-Étienne de Limoges took 6 centuries to complete",../static/images/limoges.png,history|art,../static/places/limoges.html
france_38,Toulouse,StopPoint:OCEINTERCITES de nuit-87611004,Toulouse Matabiau,43.6114370,1.45423700,Toulouse,"Toulouse, known as 'La Ville Rose', is the proud capital of the Occitan region of France which has had a distinctly independent culture and language - hence its bilingual street signs. Wandering around the city with its rose-coloured bricks, it does feel markedly different from the yellow limestone which dominates so many parts of France.",../static/images/toulouse.png,history|food,../static/places/toulouse.html
